iter	Passed	Remaining
0	5	5775
1	10	5269
2	14	4915
3	18	4673
4	22	4510
5	26	4460
6	30	4367
7	34	4305
8	38	4221
9	42	4170
10	46	4136
11	49	4089
12	53	4062
13	57	4032
14	61	4026
15	65	4005
16	68	3976
17	72	3972
18	76	3952
19	80	3938
20	84	3923
21	88	3916
22	91	3902
23	95	3881
24	99	3871
25	102	3855
26	106	3838
27	110	3822
28	113	3808
29	117	3796
30	121	3782
31	124	3767
32	128	3757
33	132	3751
34	135	3740
35	139	3725
36	142	3710
37	145	3696
38	149	3686
39	153	3672
40	156	3659
41	159	3649
42	163	3641
43	167	3639
44	171	3631
45	174	3618
46	178	3613
47	181	3602
48	185	3596
49	188	3583
50	192	3574
51	195	3565
52	199	3558
53	202	3550
54	205	3539
55	209	3532
56	212	3523
57	216	3514
58	219	3506
59	223	3501
60	227	3494
61	230	3485
62	233	3476
63	237	3468
64	240	3464
65	244	3461
66	248	3454
67	251	3448
68	255	3444
69	258	3438
70	262	3432
71	265	3424
72	269	3420
73	272	3414
74	276	3408
75	279	3402
76	283	3396
77	286	3391
78	290	3385
79	293	3379
80	297	3374
81	301	3371
82	304	3363
83	307	3357
84	311	3352
85	314	3346
86	318	3342
87	321	3336
88	325	3330
89	328	3325
90	332	3319
91	335	3314
92	339	3308
93	342	3304
94	346	3297
95	349	3293
96	353	3287
97	356	3280
98	360	3276
99	363	3272
100	367	3267
101	370	3260
102	373	3255
103	377	3251
104	380	3245
105	384	3241
106	387	3236
107	391	3233
108	395	3229
109	398	3224
110	401	3218
111	405	3214
112	408	3208
113	412	3204
114	415	3200
115	419	3196
116	423	3192
117	426	3187
118	430	3184
119	433	3179
120	437	3174
121	440	3171
122	444	3166
123	447	3159
124	450	3155
125	454	3151
126	457	3147
127	461	3143
128	464	3139
129	468	3137
130	472	3135
131	476	3131
132	479	3126
133	483	3123
134	486	3120
135	490	3116
136	494	3112
137	497	3109
138	501	3104
139	504	3099
140	508	3096
141	511	3091
142	515	3086
143	518	3082
144	522	3079
145	525	3075
146	529	3071
147	533	3068
148	536	3063
149	539	3059
150	543	3054
151	546	3050
152	550	3046
153	553	3042
154	557	3037
155	560	3033
156	564	3029
157	567	3025
158	571	3020
159	574	3016
160	578	3013
161	581	3009
162	585	3005
163	588	3001
164	592	2998
165	595	2994
166	599	2989
167	602	2985
168	606	2980
169	609	2977
170	613	2973
171	616	2968
172	619	2963
173	623	2959
174	626	2955
175	630	2950
176	633	2946
177	637	2942
178	640	2938
179	644	2934
180	647	2929
181	650	2925
182	654	2922
183	658	2919
184	661	2915
185	665	2911
186	668	2908
187	672	2904
188	675	2900
189	679	2896
190	682	2892
191	686	2888
192	689	2883
193	693	2879
194	696	2875
195	699	2870
196	703	2866
197	706	2863
198	710	2859
199	713	2855
200	717	2851
201	720	2847
202	724	2843
203	727	2839
204	731	2835
205	734	2831
206	737	2826
207	741	2822
208	744	2818
209	748	2814
210	751	2810
211	755	2806
212	758	2802
213	762	2799
214	765	2796
215	769	2793
216	772	2789
217	776	2784
218	779	2780
219	783	2776
220	786	2773
221	790	2768
222	793	2764
223	796	2760
224	800	2757
225	804	2753
226	807	2750
227	810	2745
228	814	2742
229	818	2739
230	821	2736
231	825	2732
